promotion_id,promotion_type,description,discount_amount,start_date,end_date,is_active
1,DOXEPIN HYDROCHLORIDE,deliver best-of-breed e-services,49,8/5/2024,11/9/2023,true
2,lamotrigine,utilize compelling niches,31,11/24/2023,1/13/2024,false
3,VITALUMIERE,grow out-of-the-box niches,17,7/16/2024,9/6/2024,false
4,Diltiazem Hydrochloride,engage collaborative vortals,48,9/21/2024,7/12/2024,true
5,DG Health Maximum Strength Sleep Aid,reintermediate world-class markets,19,7/3/2024,12/6/2023,true
6,Lidocaine Hydrochloride,architect granular interfaces,10,10/25/2024,6/20/2024,true
7,alendronate sodium,engineer leading-edge interfaces,10,5/8/2024,12/31/2023,false
8,Tramadol Hydrochloride,unleash proactive methodologies,34,9/3/2024,7/8/2024,true
9,ESTROSTEP Fe,leverage killer applications,36,3/10/2024,2/17/2024,true
10,CARMEX cherry lip balm BROAD SPECTRUM SPF 15 SUNSCREEN,orchestrate plug-and-play web services,51,5/31/2024,2/16/2024,true
11,LORAZEPAM,monetize cutting-edge infrastructures,26,3/2/2024,7/17/2024,true
12,ORCHID SECRET BASE,exploit next-generation mindshare,52,6/4/2024,7/3/2024,true
13,Cocet Plus,synergize revolutionary initiatives,44,9/1/2024,4/29/2024,true
14,Speed Stick,orchestrate 24/365 architectures,35,10/26/2024,3/1/2024,false
15,Nitrogen,mesh e-business mindshare,27,10/5/2024,12/19/2023,false
16,povidine iodine,harness B2B web services,56,1/29/2024,3/25/2024,false
17,SAMSCA,unleash 24/7 methodologies,42,7/17/2024,5/16/2024,false
18,Glaucoma,synthesize B2B channels,32,10/3/2024,2/6/2024,true
19,Lansoprazole,target virtual action-items,14,9/30/2024,11/25/2023,true
20,Hydrogen Peroxide,expedite scalable content,56,6/23/2024,6/24/2024,false
21,Losartan Potassium,transition plug-and-play portals,18,6/3/2024,2/11/2024,false
22,Spironolactone,transition extensible users,41,7/17/2024,3/3/2024,true
23,Topicort,e-enable bricks-and-clicks deliverables,21,11/1/2024,4/27/2024,false
24,"Adenovirus Type 4 and Type 7 Vaccine, Live",disintermediate bricks-and-clicks functionalities,38,6/15/2024,2/5/2024,false
25,Promethazine Hydrochloride,transition dynamic users,43,2/4/2024,9/14/2024,false
